comment_id,video_id,text,text_original,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,like_count,published_at,updated_at,is_reply,parent_id,total_reply_count,is_valid,extracted_at
UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhkGLf_hDN,qjPH9njnaVU,Thanks you for make us listening 🎉!,Thanks you for make us listening 🎉!,@Fearless-ambassador,https://yt3.ggpht.com/ytc/AIdro_lIvodIHR6icW0DuLfG3SGOGO4xwj20LB1hQzQL2U8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Fearless-ambassador,UC5PPpQsHV27ZIBqInYLorlQ,0,2025-09-30T19:28:46Z,2025-09-30T19:28:46Z,True,UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhkGLf_hDN,0,True,2025-10-02T18:10:42.085501
UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhlRHU1iiT,qjPH9njnaVU,"anyone who makes fun of the books lex reads is not right, lex is our guy tie guy.","anyone who makes fun of the books lex reads is not right, lex is our guy tie guy.",@brianjohnson1804,https://yt3.ggpht.com/ytc/AIdro_ndeq4cCPWCpVzD4ZNjv17_kQAlKuhx2mX8yOfZtXU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@brianjohnson1804,UCFnmvhAAbhP3sL6osgbIqyg,1,2025-09-30T19:38:59Z,2025-09-30T19:38:59Z,True,UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhlRHU1iiT,0,True,2025-10-02T18:10:42.085758
UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhmWGNqHKf,qjPH9njnaVU,"Pavel Durov works with Putin, leaking information to him about Russian opposition members. He&#39;s a habitual liar.","Pavel Durov works with Putin, leaking information to him about Russian opposition members. He's a habitual liar.",@SeregaZinin,https://yt3.ggpht.com/xN9t6Gn2sxWj82e4eSE65u2XljLH0RQNGdFrrWHW75VIAKMq_x1XIxoUNWaLw7stCju-Gecg_tQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SeregaZinin,UCUyJWblw8aMBqZkCrM4-XmA,3,2025-09-30T19:48:24Z,2025-09-30T19:48:24Z,True,UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhmWGNqHKf,0,True,2025-10-02T18:10:42.086124
UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANho8vxPlDJ,qjPH9njnaVU,who in the right mid would ever listen to MOSSAD ?,who in the right mid would ever listen to MOSSAD ?,@pitstopgarage7835,https://yt3.ggpht.com/ytc/AIdro_ncGRjkZ146LBrO4loCUvJZouqHscqHRoXWKmBQZb7h5g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pitstopgarage7835,UC8UXMdrYp6I1S8m-94E1GKg,0,2025-09-30T20:02:42Z,2025-09-30T20:02:42Z,True,UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANho8vxPlDJ,0,True,2025-10-02T18:10:42.086296
UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhpNRhKdF_,qjPH9njnaVU,Challenge accepted,Challenge accepted,@suntracker844,https://yt3.ggpht.com/uABnvKbyo01esHHXwJtF_QAugw0cT4qID_THVRB5nbDUrP02veB8PT_gk-zsrN7EapRHOl1QFA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@suntracker844,UCgP1_gLiR3R2qW07kp3fovQ,0,2025-09-30T20:13:25Z,2025-09-30T20:13:25Z,True,UgwAbUSBAtckakFGp1p4AaABAg.ANhjAfyopFFANhpNRhKdF_,0,True,2025-10-02T18:10:42.086380
Ugyg36Rk27iAcnJXiqJ4AaABAg.ANhlyd_5XxcANhmwXFv4yf,qjPH9njnaVU,@UserMaks2248 Нет,@UserMaks2248 Нет,@Pyril_youtube,https://yt3.ggpht.com/SRunXPYPdvps9qMI2rSgppkw0Og7HpT_kvxqqCbObPktZg3pTro-MXijbgy3Hxh18ulVtPMU4Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Pyril_youtube,UCLMSakxGhgtZ-qxxzEX1IEg,72,2025-09-30T19:52:08Z,2025-09-30T19:52:08Z,True,Ugyg36Rk27iAcnJXiqJ4AaABAg.ANhlyd_5XxcANhmwXFv4yf,0,True,2025-10-02T18:10:42.086615
Ugyg36Rk27iAcnJXiqJ4AaABAg.ANhlyd_5XxcANhnQhlHpGS,qjPH9njnaVU,@UserMaks2248 ну спасибо...,@UserMaks2248 ну спасибо...,@КарлсонТВ,https://yt3.ggpht.com/FtEZtuKTTRBbLFk5Q6_swn23V20ML445AjZKJdpjJxAARxb13Zro15l1KMsX_8sv7LEVxXtEeE8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@%D0%9A%D0%B0%D1%80%D0%BB%D1%81%D0%BE%D0%BD%D0%A2%D0%92,UC4PJQ1qeDMjt_8cSi_cp2zA,30,2025-09-30T19:56:23Z,2025-09-30T19:56:23Z,True,Ugyg36Rk27iAcnJXiqJ4AaABAg.ANhlyd_5XxcANhnQhlHpGS,0,True,2025-10-02T18:10:42.086981
Ugw9rQeg5QaOh7MNlGl4AaABAg,qjPH9njnaVU,I did my PhD as a fellow student  with Nikolai. A very unique person in many ways. Funny fact: by that time they already programmed the VK platform and NO one knew about it in our group. He mentioned that he likes programming a few times :) but we all knew him as this brilliant mathematician.,I did my PhD as a fellow student  with Nikolai. A very unique person in many ways. Funny fact: by that time they already programmed the VK platform and NO one knew about it in our group. He mentioned that he likes programming a few times :) but we all knew him as this brilliant mathematician.,@Mpiman,https://yt3.ggpht.com/mOAetvI4mA-NNigJd5Q0Nw5KKx5yizY_mHIkvSD-QDEY5CW10fruqW9ztdOXipGp6BZtUSgW7A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Mpiman,UCZDS7vXmZ_ycFIcuWs-xSzw,261,2025-10-01T13:55:48Z,2025-10-01T14:02:02Z,False,,20,True,2025-10-02T18:10:42.088406
Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANk4ZNlk-oj,qjPH9njnaVU,"Also, the first Russian ICPC champion","Also, the first Russian ICPC champion",@postmodernist1848,https://yt3.ggpht.com/S-mLrVCKapyC1rVVJtzA_chhzJORgxAT44IAfmdKd84r-PaKu97UfSN9X4UcnacYijmMP0ZEhw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@postmodernist1848,UC_VU9Kfcy8rX4sP_UhKhckg,9,2025-10-01T17:13:20Z,2025-10-01T17:13:20Z,True,Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANk4ZNlk-oj,0,True,2025-10-02T18:10:42.088544
Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkDtD8Yc7R,qjPH9njnaVU,"Lol won international high-school and university world programming contests multiple times: “ah yeah, coding’s just a little hobby of mine”","Lol won international high-school and university world programming contests multiple times: “ah yeah, coding’s just a little hobby of mine”",@CruxDiariesRPG,https://yt3.ggpht.com/LaQRxFMqnNKSbT2UUaIl-qWNdbMOx8dTPuVyQaCwzYcu7L-HbOFwgHWCfmrIROcSQye0c8LZzg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@CruxDiariesRPG,UCJJHTRljOHDs5FH5RSWPWrA,15,2025-10-01T18:34:49Z,2025-10-01T18:34:49Z,True,Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkDtD8Yc7R,0,True,2025-10-02T18:10:42.089134
Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkEWeaEJPx,qjPH9njnaVU,​@@CruxDiariesRPGyeah 😅. He was quite modest in that aspect cause he had super high standards for himself (like all of us at that time ),​@@CruxDiariesRPGyeah 😅. He was quite modest in that aspect cause he had super high standards for himself (like all of us at that time ),@Mpiman,https://yt3.ggpht.com/mOAetvI4mA-NNigJd5Q0Nw5KKx5yizY_mHIkvSD-QDEY5CW10fruqW9ztdOXipGp6BZtUSgW7A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Mpiman,UCZDS7vXmZ_ycFIcuWs-xSzw,7,2025-10-01T18:40:21Z,2025-10-01T18:40:21Z,True,Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkEWeaEJPx,0,True,2025-10-02T18:10:42.089666
Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkF-qfR8gz,qjPH9njnaVU,Anton Rosenberg&#39;s famous Medium post does shed some light on who Nikolai Durov is.. :D,Anton Rosenberg's famous Medium post does shed some light on who Nikolai Durov is.. :D,@JackSmith-go4ef,https://yt3.ggpht.com/ytc/AIdro_lQ38vV-0tkMhufACN5OuKy7b1ZOLEpF0eyCITWAIo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@JackSmith-go4ef,UCq7JrpqA6D4hK3s5YKXmbmg,0,2025-10-01T18:44:36Z,2025-10-01T18:44:36Z,True,Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkF-qfR8gz,0,True,2025-10-02T18:10:42.089901
Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkFfLK1WtF,qjPH9njnaVU,​@@JackSmith-go4ef Кот,​@@JackSmith-go4ef Кот,@ЗбигневБжезинский-ь8к,https://yt3.ggpht.com/ytc/AIdro_ksmHNsVXLXLqX-u2n9axcY3cu8EUwToPnUb2jnEg8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@%D0%97%D0%B1%D0%B8%D0%B3%D0%BD%D0%B5%D0%B2%D0%91%D0%B6%D0%B5%D0%B7%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9-%D1%8C8%D0%BA,UCcrgzFDKwQmh5yrcPbnx0dw,0,2025-10-01T18:50:24Z,2025-10-01T18:50:24Z,True,Ugw9rQeg5QaOh7MNlGl4AaABAg.ANjixb_YOcmANkFfLK1WtF,0,True,2025-10-02T18:10:42.089994
Ugwqtl9pI77bY3gNPwZ4AaABAg,qjPH9njnaVU,"Lex, we need an interview with his brother, please 🙂 he has a crazy CV  :))","Lex, we need an interview with his brother, please 🙂 he has a crazy CV  :))",@Bujorfitness,https://yt3.ggpht.com/_W1RY9FU8HWZdNArhIOKaG3dV9m46MNvZS-FNHeEUQ5jbOLxn6jlQj4LFqPzfXnZDHZ6-KkL=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Bujorfitness,UCTP8AlByf0HuQA-CQHyyoeQ,481,2025-10-01T07:54:07Z,2025-10-01T07:54:07Z,False,,7,True,2025-10-02T18:10:42.090198
Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANkEo6qfsHU,qjPH9njnaVU,Never gonna happen 🤣 Nikolay will never agree to it,Never gonna happen 🤣 Nikolay will never agree to it,@Mpiman,https://yt3.ggpht.com/mOAetvI4mA-NNigJd5Q0Nw5KKx5yizY_mHIkvSD-QDEY5CW10fruqW9ztdOXipGp6BZtUSgW7A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Mpiman,UCZDS7vXmZ_ycFIcuWs-xSzw,33,2025-10-01T18:42:52Z,2025-10-01T18:42:52Z,True,Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANkEo6qfsHU,0,True,2025-10-02T18:10:42.090352
Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANkROD2DgQ5,qjPH9njnaVU,"highly unlikely, yes","highly unlikely, yes",@themisfitoddity,https://yt3.ggpht.com/ytc/AIdro_kGl3MoLuFxHrTUFVaXsKAdp-zAUbuv3NnZpwdcwx4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@themisfitoddity,UCLP6YtZBBH79JBLW8DnWGJA,6,2025-10-01T20:32:47Z,2025-10-01T20:32:47Z,True,Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANkROD2DgQ5,0,True,2025-10-02T18:10:42.090438
Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANlFOvLdl4L,qjPH9njnaVU,Pavel Durov forcibly banned his brother Nikolai from giving interviews. He has no freedom - his brother slave.,Pavel Durov forcibly banned his brother Nikolai from giving interviews. He has no freedom - his brother slave.,@chelol208,https://yt3.ggpht.com/c6kYXVsca4iTiwe93KMhGG2KfDMHexPtTlfYUWcB1KN2SIXMRfbSGhRMTnb7FPetil3xh5KW=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@chelol208,UCYLxF-q3CrJRiJJXjBM60zg,5,2025-10-02T04:07:16Z,2025-10-02T04:08:03Z,True,Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANlFOvLdl4L,0,True,2025-10-02T18:10:42.090702
Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANlPC2VOd6p,qjPH9njnaVU,"​@@chelol208bro, watafakkk","​@@chelol208bro, watafakkk",@QutuzDust,https://yt3.ggpht.com/ytc/AIdro_k40RWE_g69humquYu6aIJoPrWWp7Nn4a9sSyNNOYknTPtbfVDnqabmGsWkidpaSBGY0Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@QutuzDust,UC0CamPeqzlmImMbEYmnonSQ,1,2025-10-02T05:32:53Z,2025-10-02T05:32:53Z,True,Ugwqtl9pI77bY3gNPwZ4AaABAg.ANj4ZZWSKL9ANlPC2VOd6p,0,True,2025-10-02T18:10:42.090793
UgzD2eSM5fVzSF4irR94AaABAg,qjPH9njnaVU,this interview will inspire us to do pushups for the next 2 months,this interview will inspire us to do pushups for the next 2 months,@promptbar,https://yt3.ggpht.com/Gly41KnXiiJ_Z6foZBSO8UbW_znygHraqtIVT-bqW3CuSSw4SUFaTCaog76lM7RYXJJBeQ3JJg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@promptbar,UCfAR6Jp9nQTCPva3yh2BOGA,607,2025-09-30T20:35:49Z,2025-09-30T20:35:49Z,False,,8,True,2025-10-02T18:10:42.092801
UgzD2eSM5fVzSF4irR94AaABAg.ANhrwYokTpxANhtlHnyl26,qjPH9njnaVU,"2 days, rather 😂😂😂","2 days, rather 😂😂😂",@paulkiss1981,https://yt3.ggpht.com/ytc/AIdro_kaFYmSVcBG6Mr3QuHgo5INt2IIU0akDkZKtpTWB_sgpJY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@paulkiss1981,UCQ08E5gjpOkZ4bnT5lCxvRQ,30,2025-09-30T20:51:45Z,2025-09-30T20:51:45Z,True,UgzD2eSM5fVzSF4irR94AaABAg.ANhrwYokTpxANhtlHnyl26,0,True,2025-10-02T18:10:42.092890
UgzD2eSM5fVzSF4irR94AaABAg.ANhrwYokTpxANipWfku88b,qjPH9njnaVU,Gave up already.,Gave up already.,@SysoevFM,https://yt3.ggpht.com/ytc/AIdro_lZmVfzy03ky5cGPraMPP0txjZLIfSCyiAEmyoviAw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SysoevFM,UCJy5be-EMWoeiaiATzhhXbQ,21,2025-10-01T05:33:55Z,2025-10-01T05:33:55Z,True,UgzD2eSM5fVzSF4irR94AaABAg.ANhrwYokTpxANipWfku88b,0,True,2025-10-02T18:10:42.092987
